customer_id,customer_name,city,signup_date
CUST00000,Arjun Mehta,Mumbai,2023-01-05
CUST00001,Wei Johnson,Chennai,2023-09-13
CUST00002,Chen Patel,Bangalore,2023-03-18
CUST00003,Olivia Kovacs,Pune,2023-07-12
CUST00004,Emma Kovacs,Chennai,2022-02-06
CUST00005,Vivaan Miller,Ahmedabad,2022-11-23
CUST00006,Emily Dubois,Jaipur,2022-06-18
CUST00007,Anna Zhang,Hyderabad,2022-08-25
CUST00008,Vivaan Zhang,Pune,2022-06-27
CUST00009,Meera Kovacs,Jaipur,2023-01-04
CUST00010,Mia Zhang,Ahmedabad,2024-03-26
CUST00011,Sophia Muller,Pune,2024-03-19
CUST00012,Eva Jones,Pune,2024-05-29
CUST00013,Emma Wang,Kolkata,2024-01-03
CUST00014,Liam Muller,Hyderabad,2023-05-17
CUST00015,Jian Novak,Jaipur,2023-06-12
CUST00016,Robert Garcia,Ahmedabad,2022-12-26
CUST00017,Leo Garcia,Ahmedabad,2023-11-06
CUST00018,Ling Brown,Bangalore,2024-06-16
CUST00019,Jian Silva,Chennai,2022-11-07
CUST00020,Mia Muller,Jaipur,2023-10-30
CUST00021,Eva Schmidt,Chennai,2024-01-19
CUST00022,Chen Novak,Jaipur,2023-01-11
CUST00023,Isha Williams,Delhi,2024-04-14
CUST00024,Xiao Kapoor,Delhi,2023-08-12
CUST00025,Arjun Zhou,Hyderabad,2023-11-30
CUST00026,Riya Muller,Bangalore,2024-05-24
CUST00027,Jian Zhao,Hyderabad,2022-03-03
CUST00028,Daniel Patel,Delhi,2023-01-07
CUST00029,Michael Zhang,Hyderabad,2023-11-20
CUST00030,Vivaan Mehta,Mumbai,2022-03-11
CUST00031,Vivaan Patel,Delhi,2023-01-18
CUST00032,Mei Nair,Bangalore,2024-01-23
CUST00033,Li Muller,Delhi,2023-01-30
CUST00034,Eva Patel,Hyderabad,2022-06-05
CUST00035,Aditya Sharma,Pune,2023-09-23
CUST00036,Kabir Smith,Pune,2023-05-16
CUST00037,Vivaan Johnson,Ahmedabad,2023-07-19
CUST00038,Mateo Patel,Chennai,2024-02-13
CUST00039,Olivia Iyer,Ahmedabad,2022-08-19
CUST00040,Ananya Brown,Mumbai,2022-01-25
CUST00041,Emma Nair,Jaipur,2023-08-22
CUST00042,Olivia Novak,Jaipur,2022-12-02
CUST00043,Rohan Williams,Chennai,2022-09-26
CUST00044,Mateo Schmidt,Delhi,2023-12-18
CUST00045,Anna Nair,Delhi,2022-09-17
CUST00046,Aditya Nair,Bangalore,2022-06-24
CUST00047,Riya Garcia,Hyderabad,2023-06-05
CUST00048,Aditya Zhao,Hyderabad,2024-01-02
CUST00049,Emma Gupta,Chennai,2022-03-24
CUST00050,Eva Huang,Pune,2022-09-20
CUST00051,Daniel Zhou,Jaipur,2024-02-08
CUST00052,Aarav Iyer,Delhi,2023-01-29
CUST00053,Sophia Wang,Mumbai,2023-06-09
CUST00054,Ananya Zhao,Mumbai,2022-04-13
CUST00055,Vivaan Zhang,Hyderabad,2022-04-18
CUST00056,Chen Verma,Jaipur,2023-11-17
CUST00057,Liam Garcia,Chennai,2023-07-03
CUST00058,Emily Yang,Hyderabad,2024-01-17
CUST00059,Daniel Dubois,Jaipur,2022-01-22
CUST00060,Eva Singh,Kolkata,2023-06-22
CUST00061,Eva Zhang,Mumbai,2023-11-11
CUST00062,Lucas Miller,Delhi,2023-06-16
CUST00063,Kabir Miller,Chennai,2023-12-08
CUST00064,Michael Johnson,Delhi,2024-06-14
CUST00065,Sophia Kapoor,Mumbai,2022-11-10
CUST00066,Xiao Verma,Ahmedabad,2022-03-03
CUST00067,Sophia Novak,Ahmedabad,2022-08-02
CUST00068,Eva Gupta,Delhi,2022-10-19
CUST00069,Vivaan Miller,Chennai,2024-01-11
CUST00070,Isha Huang,Ahmedabad,2022-07-16
CUST00071,Kabir Miller,Kolkata,2024-01-04
CUST00072,Liam Nair,Pune,2023-02-09
CUST00073,Kabir Wu,Mumbai,2022-05-06
CUST00074,Ananya Williams,Kolkata,2022-08-06
